Player,Pos,TRB,AST,PTS
Furkan Korkmaz,SG,2.3,1.1,5.8
Troy Daniels,SG,1.3,0.5,6
Tony Snell,SG,2.1,0.9,6
Nik Stauskas,SG,1.9,1.3,6
Nik Stauskas,SG,1.8,1.4,6.1
Jamal Crawford,SG,1.2,3.3,6.3
Dwayne Bacon,SG,2.1,1,6.4
Pat Connaughton,SG,3.9,2,6.5
MarShon Brooks,SG,1.6,0.9,6.6
David Nwaba,SG,3.1,1.1,6.6
J.R. Smith,SG,1.6,1.9,6.7
Terrance Ferguson,SG,1.8,0.9,6.8
Wayne Selden,SG,2.1,1.4,6.8
Jonathon Simmons,SG,2.4,2.3,6.9
Wesley Matthews,SG,1.5,2.5,7
Antonio Blakeney,SG,1.8,0.6,7.2
Seth Curry,SG,1.5,0.9,7.2
Austin Rivers,SG,2.4,2,7.2
Lance Stephenson,SG,3.1,2,7.2
Iman Shumpert,SG,3,1.9,7.6
Josh Okogie,SG,3,1.2,7.7
Josh Hart,SG,3.7,1.4,7.8
Tyler Dorsey,SG,3,1.5,7.9
Rodney McGruder,SG,3.6,1.7,7.9
Wayne Selden,SG,2.7,1.7,8
Garrett Temple,SG,2.9,1.4,8
DeAndre' Bembry,SG,4.3,2.5,8.1
Avery Bradley,SG,2.7,2,8.2
Justin Holiday,SG,3.5,1.4,8.2
Landry Shamet,SG,1.4,1.1,8.3
Alec Burks,SG,1.6,1.2,8.4
Wayne Ellington,SG,1.9,1.2,8.4
Langston Galloway,SG,2.1,1.1,8.4
Norman Powell,SG,2.3,1.5,8.4
Reggie Bullock,SG,2.6,1,8.6
Tomas Satoransky,SG,3.5,5,8.8
Iman Shumpert,SG,3.1,2.2,8.9
Marcus Smart,SG,3,4.1,8.9
Alec Burks,SG,3.7,2,9
Rodney Hood,SG,1.5,1,9.1
Kyle Korver,SG,2.4,1.2,9.3
Wayne Ellington,SG,1.8,1.3,9.4
Gerald Green,SG,2.6,0.6,9.4
Malik Monk,SG,1.7,1.6,9.4
Garrett Temple,SG,3.1,1.4,9.4
Kadeem Allen,SG,2.6,3.7,9.5
Kevin Huerter,SG,3.2,2.8,9.5
Allen Crabbe,SG,3.4,1.1,9.6
Luke Kennard,SG,2.9,1.8,9.7
Avery Bradley,SG,2.8,2.4,9.9
Justin Holiday,SG,4,1.9,9.9
Danny Green,SG,4,1.5,10
Tyreke Evans,SG,2.8,2.4,10.1
Kentavious Caldwell-Pope,SG,2.8,1.1,10.4
Wayne Ellington,SG,1.7,1.4,10.7
Marco Belinelli,SG,2.6,1.7,10.8
Allonzo Trier,SG,3.1,1.9,10.9
Damyean Dotson,SG,3.6,1.7,11
Josh Jackson,SG,4.2,2.2,11
Reggie Bullock,SG,2.7,2.1,11.1
Tyler Johnson,SG,4,4.2,11.1
Dion Waiters,SG,2.8,2.8,11.1
Rodney Hood,SG,2.2,1.7,11.3
Malik Beasley,SG,2.5,1.2,11.4
Alec Burks,SG,5.5,2.9,11.6
Justin Holiday,SG,4.4,2.2,11.6
Wesley Matthews,SG,3.1,2.4,11.7
Kent Bazemore,SG,3.9,2.3,11.8
Reggie Bullock,SG,2.8,2.5,12.1
Rodney Hood,SG,2.5,2,12.2
Will Barton,SG,5,3,12.5
Jaylen Brown,SG,4.3,1.3,13
Gary Harris,SG,3,2.4,13.3
Joe Harris,SG,3.7,2.4,13.5
Bogdan Bogdanovic,SG,3.5,3.8,14
Dwyane Wade,SG,3.8,4.1,14.4
Terrence Ross,SG,3.5,1.6,14.6
Evan Fournier,SG,3.2,3.7,14.9
Jeremy Lamb,SG,5.6,2.1,15.1
Tim Hardaway,SG,3.2,1.9,15.5
Malcolm Brogdon,SG,4.5,3.2,15.6
Avery Bradley,SG,3.1,4,16.1
Eric Gordon,SG,2.3,2,16.2
Josh Richardson,SG,3.6,4.1,16.7
Jordan Clarkson,SG,3.4,2.4,17
J.J. Redick,SG,2.4,2.7,17.6
Tim Hardaway,SG,3.4,2.4,18.1
Victor Oladipo,SG,5.6,5.2,18.8
Tim Hardaway,SG,3.5,2.7,19.1
Lou Williams,SG,3,5.3,20.3
Buddy Hield,SG,5.2,2.5,20.8
Luka Doncic,SG,7.6,5.9,21.1
Jrue Holiday,SG,5,7.7,21.2
Jimmy Butler,SG,5.2,4.3,21.3
CJ McCollum,SG,4,2.9,21.3
DeMar DeRozan,SG,6.2,6.2,21.5
Klay Thompson,SG,4,2.4,22.2
Donovan Mitchell,SG,4.1,4.1,23.4
Zach LaVine,SG,4.7,4.5,23.7
Bradley Beal,SG,5.2,5.5,26
Devin Booker,SG,4.2,6.7,26.2
James Harden,SG,6.5,7.5,36.2
Bonzie Colson,SF,0.7,0.3,1
Julian Washburn,SF,2.3,0.3,1.3
Vince Edwards,SF,1,0,1.5
Haywood Highsmith,SF,0.5,1,1.5
Deng Adel,SF,1.1,0.3,1.7
Timothe Luwawu-Cabarrot,SF,0.9,0.2,1.7
Quincy Pondexter,SF,0.9,0.5,1.8
James Nunnally,SF,0.3,0.4,2.1
Wilson Chandler,SF,2.6,0.3,2.3
James Nunnally,SF,0.3,0.5,2.4
Justin Anderson,SF,1.2,0.3,2.7
Wesley Johnson,SF,1.5,0.6,3
Thabo Sefolosha,SF,2.3,0.5,3.1
Sviatoslav Mykhailiuk,SF,0.9,0.8,3.3
B.J. Johnson,SF,1.3,0,3.5
Wesley Johnson,SF,1.9,0.6,3.5
Wesley Johnson,SF,2.1,0.6,3.7
Troy Brown,SF,2.5,1.4,3.8
Mitch Creek,SF,2.5,1.3,3.8
Solomon Hill,SF,2.9,1.2,3.8
Abdel Nader,SF,1.9,0.3,4
Glenn Robinson,SF,1.3,0.4,4.1
Jonathon Simmons,SF,1.4,1.4,4.1
Jaron Blossomgame,SF,3.6,0.5,4.2
Stanley Johnson,SF,2.3,1.4,4.3
Corey Brewer,SF,1.9,1.1,4.5
Malcolm Miller,SF,0.3,0.2,4.5
James Nunnally,SF,0.5,1,4.5
